business_name,category,ratings,years_open,phone_number,full_address,street_address,city,price
"('El Grullense Restaurant', 17)","(['Restaurants', 'Family Style Restaurants', 'Mexican Restaurants'], 17)","('{""rating"":""4.0"",""count"":""68""}', 17)","('32', 17)","('(510) 985-1200', 17)","(None, 17)","('4039 Piedmont Ave', 17)","('Oakland, CA 94611', 17)","('$$', 17)"
"('Bar Cesar', 18)","(['Restaurants', 'Tapas', 'Bars'], 18)","(""{'rating': '', 'count': ''}"", 18)","('20', 18)","('(510) 635-3295', 18)","(None, 18)","('405 Hegenberger Rd', 18)","('Oakland, CA 94621', 18)","('$$', 18)"
"('Carrows', 19)","(['Restaurants', 'American Restaurants', 'Family Style Restaurants'], 19)","('{""rating"":""4.5"",""count"":""23""}', 19)","('24', 19)","('(510) 601-6441', 19)","(None, 19)","('4066 Piedmont Ave', 19)","('Oakland, CA 94611', 19)","('$$$', 19)"
"('Ninna Restaurant', 20)","(['Restaurants', 'Take Out Restaurants', 'Family Style Restaurants'], 20)","(""{'rating': '', 'count': ''}"", 20)","('22', 20)","('(510) 569-4808', 20)","(None, 20)","('433 Hegenberger Rd Ste B', 20)","('Oakland, CA 94621', 20)","('$$', 20)"
"('Le Bistro Restaurant', 21)","(['Restaurants', 'Continental Restaurants', 'French Restaurants'], 21)","(""{'rating': '', 'count': ''}"", 21)","('16', 21)","('(510) 763-0300', 21)","(None, 21)","('3425 Grand Ave', 21)","('Oakland, CA 94610', 21)","('$', 21)"
"('Milano Restaurant Oakland', 22)","(['Restaurants', 'Family Style Restaurants'], 22)","('{""rating"":""4.0"",""count"":""68""}', 22)","('24', 22)","('(510) 482-8094', 22)","(None, 22)","('2220 Mountain Blvd', 22)","('Oakland, CA 94611', 22)","('$', 22)"
"('Italian Colors', 23)","(['Restaurants', 'Italian Restaurants', 'Caterers'], 23)","('{""rating"":""4.5"",""count"":""143""}', 23)","('40', 23)","('(510) 336-1180', 23)","(None, 23)","('4238 Park Blvd', 23)","('Oakland, CA 94602', 23)","('$$', 23)"
"('Bellanico', 24)","(['Restaurants', 'Italian Restaurants'], 24)","('{""rating"":""5.0"",""count"":""1""}', 24)","('30', 24)","('(510) 533-4441', 24)","(None, 24)","('3800 San Leandro St', 24)","('Oakland, CA 94601', 24)","('$', 24)"
"('4 Caminos Restaurant', 25)","(['Restaurants', 'Family Style Restaurants'], 25)","(""{'rating': '', 'count': ''}"", 25)","('16', 25)","('(510) 382-9255', 25)","(None, 25)","('8418 International Blvd', 25)","('Oakland, CA 94621', 25)","('$', 25)"
"('San Francisco Restaurant', 26)","(['Restaurants', 'Family Style Restaurants'], 26)","('{""rating"":""4.0"",""count"":""5""}', 26)","('27', 26)","('(510) 777-1200', 26)","(None, 26)","('6637 Bancroft Ave', 26)","('Oakland, CA 94605', 26)","('$$', 26)"
"(""Genny's BBQ"", 27)","(['Restaurants', 'Barbecue Restaurants'], 27)","('{""rating"":""4.5"",""count"":""467""}', 27)","('24', 27)","('(510) 654-6607', 27)","(None, 27)","('6317 College Ave', 27)","('Oakland, CA 94618', 27)","('$', 27)"
"('Wood Tavern', 28)","(['Restaurants', 'American Restaurants', 'Bars'], 28)","('{""rating"":""4.5"",""count"":""910""}', 28)","('16', 28)","('(510) 658-7000', 28)","(None, 28)","('4226 Piedmont Ave', 28)","('Oakland, CA 94611', 28)","('$', 28)"
"('Fentons Creamery & Restaurant', 29)","(['Restaurants', 'American Restaurants', 'Family Style Restaurants'], 29)","('{""rating"":""4.5"",""count"":""6""}', 29)","('101', 29)","('(866) 295-9853', 29)","(None, 29)","('55 Webster St Ste 66-055', 29)","('Oakland, CA 94607', 29)","('$$', 29)"
"('Jack London Square', 30)","(['Restaurants', 'Seafood Restaurants', 'French Restaurants'], 30)","(""{'rating': '', 'count': ''}"", 30)","('26', 30)","('(510) 654-5033', 30)","(None, 30)","('3766 Piedmont Ave', 30)","('Oakland, CA 94611', 30)","('$$', 30)"
"('The Spinnaker - Sausalito', 31)","(['Restaurants', 'Banquet Halls & Reception Facilities'], 31)","('{""rating"":""4.5"",""count"":""176""}', 31)","('19', 31)","('(510) 985-1213', 31)","(None, 31)","('5098 Telegraph Ave', 31)","('Oakland, CA 94609', 31)","('$', 31)"
"('Garre Winery', 32)","(['Restaurants', 'Wineries', 'Party & Event Planners', 'Wedding Chapels & Ceremonies', 'Wine'], 32)","('{""rating"":""4.0"",""count"":""6""}', 32)","('54', 32)","('(510) 531-9999', 32)","(None, 32)","('1500 Leimert Blvd', 32)","('Oakland, CA 94602', 32)","('$$', 32)"
"('Slow Hand BBQ', 33)","(['Restaurants', 'Barbecue Restaurants', 'Bar & Grills', 'Caterers', 'Bars', 'Sports Bars'], 33)","(""{'rating': '', 'count': ''}"", 33)","('32', 33)","('(510) 531-2424', 33)","(None, 33)","('2531 Macarthur Blvd', 33)","('Oakland, CA 94602', 33)","('$$', 33)"
"('Slow Hand BBQ', 34)","(['Restaurants', 'Barbecue Restaurants', 'Bar & Grills', 'Caterers', 'Bars', 'Sports Bars'], 34)","('{""rating"":""4.5"",""count"":""14""}', 34)","('24', 34)","('(510) 530-0681', 34)","(None, 34)","('2033 Macarthur Blvd', 34)","('Oakland, CA 94602', 34)","('$$', 34)"
"(""Ray's Crab Shack"", 35)","(['Restaurants', 'Seafood Restaurants', 'Creole & Cajun Restaurants', 'Fine Dining Restaurants'], 35)","('{""rating"":""3.5"",""count"":""19""}', 35)","('34', 35)","('(510) 652-9678', 35)","(None, 35)","('4080 Piedmont Ave', 35)","('Oakland, CA 94611', 35)","('$$', 35)"
"('Hunan  Village', 36)","(['Restaurants', 'Take Out Restaurants', 'Chinese Restaurants', 'Caterers', 'Asian Restaurants'], 36)","(""{'rating': '', 'count': ''}"", 36)","('37', 36)","('(510) 655-3929', 36)","(None, 36)","('5352 College Ave', 36)","('Oakland, CA 94618', 36)","('$$', 36)"
"('Yang Chow Restaurant', 37)","(['Restaurants', 'Take Out Restaurants', 'Chinese Restaurants', 'Restaurant Delivery Service'], 37)","(""{'rating': '', 'count': ''}"", 37)","('15', 37)","('(510) 328-1838', 37)","(None, 37)","('1416 Fruitvale Ave', 37)","('Oakland, CA 94601', 37)","('$$', 37)"
"(""Charlie's Restaurants"", 38)","(['Restaurants', 'Banquet Halls & Reception Facilities', 'Wedding Chapels & Ceremonies'], 38)","(""{'rating': '', 'count': ''}"", 38)","('10', 38)","('(510) 534-3752', 38)","(None, 38)","('3340 E 12th St suit 11', 38)","('Oakland, CA 94601', 38)","('$', 38)"
"('Rooster Run Event Ctr', 39)","(['Restaurants', 'Banquet Halls & Reception Facilities', 'Halls, Auditoriums & Ballrooms'], 39)","('{""rating"":""4.0"",""count"":""185""}', 39)","('18', 39)","('(510) 268-3200', 39)","(None, 39)","('66 Franklin St Ste 100', 39)","('Oakland, CA 94607', 39)","('$$', 39)"
"(""Jim's On the Course"", 40)","(['Restaurants', 'Taverns', 'American Restaurants', 'Breakfast, Brunch & Lunch Restaurants'], 40)","('{""rating"":""3.5"",""count"":""45""}', 40)","('10', 40)","('(510) 658-2300', 40)","(None, 40)","('5316 College Ave', 40)","('Oakland, CA 94618', 40)","('$$', 40)"
"('Red Sea Restaurant', 41)","(['Restaurants', 'African Restaurants', 'Seafood Restaurants', 'Family Style Restaurants'], 41)","('{""rating"":""4.0"",""count"":""31""}', 41)","('14', 41)","('(510) 338-6789', 41)","(None, 41)","('2204 Broadway', 41)","('Oakland, CA 94612', 41)","('$$', 41)"
"('China Garlic Restaurant', 42)","(['Restaurants', 'Chinese Restaurants', 'Seafood Restaurants'], 42)","('{""rating"":""3.5"",""count"":""249""}', 42)","('25', 42)","('(510) 208-5253', 42)","(None, 42)","('1520 Lakeside Dr', 42)","('Oakland, CA 94612', 42)","('$', 42)"
"('Bakesale Betty', 43)","(['Restaurants', 'American Restaurants', 'Take Out Restaurants'], 43)","(""{'rating': '', 'count': ''}"", 43)","('42', 43)","('(510) 653-5350', 43)","(None, 43)","('4799 Telegraph Ave', 43)","('Oakland, CA 94609', 43)","('$', 43)"
"('Red Boy Pizza', 44)","(['Restaurants', 'Pizza', 'Italian Grocery Stores'], 44)","('{""rating"":""4.5"",""count"":""22""}', 44)","('38', 44)","('(510) 250-6005', 44)","(None, 44)","('5655 College Ave', 44)","('Oakland, CA 94618', 44)","('$', 44)"
"('Jade Palace Chinese Kitchen', 45)","(['Restaurants', 'Chinese Restaurants', 'Asian Restaurants'], 45)","('{""rating"":""4.0"",""count"":""208""}', 45)","('43', 45)","('(510) 763-8495', 45)","(None, 45)","('1007 Clay St', 45)","('Oakland, CA 94607', 45)","(None, 45)"
"('Flower Lounge Restaurant', 46)","(['Restaurants', 'Chinese Restaurants', 'Caterers'], 46)","('{""rating"":""4.5"",""count"":""9""}', 46)","('20', 46)","('(510) 419-0622', 46)","(None, 46)","('2022 Telegraph Ave', 46)","('Oakland, CA 94612', 46)","(None, 46)"
"(""Holly's Mandarin"", 47)","(['Restaurants', 'Chinese Restaurants', 'Caterers'], 47)","('{""rating"":""4.0"",""count"":""77""}', 47)","('15', 47)","('(510) 835-1176', 47)","(None, 47)","('301 Franklin St', 47)","('Oakland, CA 94607', 47)","(None, 47)"
"('McNally Irish Pub', 48)","(['Restaurants', 'Irish Restaurants', 'Bars'], 48)","('{""rating"":""2.5"",""count"":""2""}', 48)","('13', 48)","('(510) 451-4555', 48)","(None, 48)","('2817 Telegraph Ave', 48)","('Oakland, CA 94609', 48)","(None, 48)"
"('El Tapatio Restaurant', 49)","(['Restaurants', 'Family Style Restaurants'], 49)","('{""rating"":""4.0"",""count"":""24""}', 49)","('15', 49)","('(510) 251-1657', 49)","(None, 49)","('211 Foothill Blvd', 49)","('Oakland, CA 94606', 49)","(None, 49)"
"('Taco Grill', 50)","(['Restaurants', 'Mexican Restaurants', 'Take Out Restaurants'], 50)","('{""rating"":""4.5"",""count"":""2""}', 50)","('75', 50)","('(510) 451-6888', 50)","(None, 50)","('720 International Blvd', 50)","('Oakland, CA 94606', 50)","(None, 50)"
"('Forge Handcrafted Pizza', 51)","(['Restaurants', 'Pizza', 'American Restaurants'], 51)","('{""rating"":""4.5"",""count"":""26""}', 51)","('49', 51)","('(510) 420-8889', 51)","(None, 51)","('3401 Telegraph Ave', 51)","('Oakland, CA 94609', 51)","(None, 51)"
"('Khana Peena', 52)","(['Restaurants', 'Indian Restaurants', 'Middle Eastern Restaurants'], 52)","(""{'rating': '', 'count': ''}"", 52)","('43', 52)","('(510) 658-9040', 52)","(None, 52)","('4701 Telegraph Ave', 52)","('Oakland, CA 94609', 52)","(None, 52)"
"(""Ike's Love & Sandwiches"", 53)","(['Restaurants', 'American Restaurants', 'Take Out Restaurants'], 53)","(""{'rating': '', 'count': ''}"", 53)","('24', 53)","('(510) 328-1458', 53)","(None, 53)","('2211 International Blvd', 53)","('Oakland, CA 94606', 53)","(None, 53)"
"('Lake Chalet', 54)","(['Restaurants', 'Seafood Restaurants', 'American Restaurants'], 54)","('{""rating"":""4.0"",""count"":""17""}', 54)","('42', 54)","('(510) 595-7388', 54)","(None, 54)","('5335 College Ave Ste 2', 54)","('Oakland, CA 94618', 54)","(None, 54)"
"('Lanesplitter', 55)","(['Restaurants', 'Pizza', 'Italian Restaurants'], 55)","('{""rating"":""4.5"",""count"":""55""}', 55)","(None, 55)","('(510) 654-0100', 55)","(None, 55)","('6311 College Ave', 55)","('Oakland, CA 94618', 55)","(None, 55)"
"('Market Hall Foods', 56)","(['Restaurants', 'French Restaurants', 'American Restaurants'], 56)","('{""rating"":""4.0"",""count"":""81""}', 56)","(None, 56)","('(510) 339-9554', 56)","(None, 56)","('6126 Medau Pl', 56)","('Oakland, CA 94611', 56)","(None, 56)"
"('Le Cheval', 57)","(['Restaurants', 'Vietnamese Restaurants', 'Family Style Restaurants'], 57)","('{""rating"":""5.0"",""count"":""1""}', 57)","(None, 57)","('(510) 482-1255', 57)","(None, 57)","('4014 Macarthur Blvd', 57)","('Oakland, CA 94619', 57)","(None, 57)"
"('Hutch Bar & Kitchen', 58)","(['Restaurants', 'Barbecue Restaurants', 'Caterers'], 58)","(""{'rating': '', 'count': ''}"", 58)","(None, 58)","('(510) 531-1415', 58)","(None, 58)","('4100 Redwood Rd', 58)","('Oakland, CA 94619', 58)","(None, 58)"
"('Oakland Grill', 59)","(['Restaurants', 'American Restaurants', 'Breakfast, Brunch & Lunch Restaurants'], 59)","(""{'rating': '', 'count': ''}"", 59)","(None, 59)","('(510) 568-3050', 59)","(None, 59)","('6807 Foothill Blvd', 59)","('Oakland, CA 94605', 59)","(None, 59)"
"('Louisiana Fish & Chips', 60)","(['Restaurants', 'Seafood Restaurants', 'Take Out Restaurants'], 60)","(None, 60)","(None, 60)","(None, 60)","(None, 60)","(None, 60)","(None, 60)","(None, 60)"
"('Rockin Crawfish', 61)","(['Restaurants', 'Seafood Restaurants', 'Fish & Seafood Markets'], 61)","(None, 61)","(None, 61)","(None, 61)","(None, 61)","(None, 61)","(None, 61)","(None, 61)"
"('Pho Hoa Lao Restaurant', 62)","(['Restaurants', 'Vietnamese Restaurants', 'Asian Restaurants'], 62)","(None, 62)","(None, 62)","(None, 62)","(None, 62)","(None, 62)","(None, 62)","(None, 62)"
"('Taste of Denmark', 63)","(['Restaurants', 'American Restaurants', 'Caterers'], 63)","(None, 63)","(None, 63)","(None, 63)","(None, 63)","(None, 63)","(None, 63)","(None, 63)"
"('Pyung Chang Restaurante', 64)","(['Restaurants', 'Korean Restaurants', 'Asian Restaurants'], 64)","(None, 64)","(None, 64)","(None, 64)","(None, 64)","(None, 64)","(None, 64)","(None, 64)"
"('Queens Cajun Seafood', 65)","(['Restaurants', 'Seafood Restaurants', 'Fish & Seafood Markets'], 65)","(None, 65)","(None, 65)","(None, 65)","(None, 65)","(None, 65)","(None, 65)","(None, 65)"
"('Rikyu Japanese Restaurant', 66)","(['Restaurants', 'Japanese Restaurants', 'Family Style Restaurants'], 66)","(None, 66)","(None, 66)","(None, 66)","(None, 66)","(None, 66)","(None, 66)","(None, 66)"
"('Southie', 67)","(['Restaurants', 'American Restaurants', 'Sandwich Shops'], 67)","(None, 67)","(None, 67)","(None, 67)","(None, 67)","(None, 67)","(None, 67)","(None, 67)"
"('Montclair Egg Shop', 68)","(['Restaurants', 'American Restaurants', 'Breakfast, Brunch & Lunch Restaurants'], 68)","(None, 68)","(None, 68)","(None, 68)","(None, 68)","(None, 68)","(None, 68)","(None, 68)"
"('1 Seafood & Chicken Restaurant', 69)","(['Restaurants', 'Seafood Restaurants', 'Fish & Seafood Markets'], 69)","(None, 69)","(None, 69)","(None, 69)","(None, 69)","(None, 69)","(None, 69)","(None, 69)"
"('Hunan Yuan Restaurant', 70)","(['Restaurants', 'Family Style Restaurants', 'Chinese Restaurants'], 70)","(None, 70)","(None, 70)","(None, 70)","(None, 70)","(None, 70)","(None, 70)","(None, 70)"
"(""Fong's Cafe"", 71)","(['Restaurants', 'Coffee Shops', 'American Restaurants'], 71)","(None, 71)","(None, 71)","(None, 71)","(None, 71)","(None, 71)","(None, 71)","(None, 71)"
